id,location,latitude,longitude,ref_stn,tg_bm,cd_to_bm,mhws,mhwn,mlwn,mlws,msl,hat,lat,data_start,data_end,data_len,owner,gauge_type,pred_link,data_link,int_number
1406,Haskell Bay,-50.6017,166.2114,Bluff,EVGA,2.75,1.7,1.3,0.7,0.2,1,,,25/01/2015,25/03/2015,0.2,,,,,
1407,Charleston Tsunami,-41.9083,171.4333,Westport,EM6H,,3.35,2.72,1.1,0.47,1.91,3.67,0.16,11/09/1997,30/06/2020,10,LINZ/GeoNet,Pressure transducer,,https://sealevel-data.linz.govt.nz/CHST/,6525
1408,Omapere,-35.5344,173.3858,Port Taranaki,EVXB,5.466,2.9,2.3,0.8,0.1,1.6,,,8/09/2015,17/11/2015,0.2,,,,,6380c
1410,Ngaiotonga Bay,-35.3107,174.3207,Marsden Point,ERYX,4.709,2.5,2,0.8,0.3,1.4,,,9/10/2015,22/11/2015,0.15,,,,,6391c
1411,Tamateatai Point,-35.3443,174.3283,Marsden Point,ERYR,3.114,2.5,2.1,0.8,0.4,1.4,,,9/10/2015,22/11/2015,0.15,,,,,6391d
1412,Taiwawe Bay,-35.4348,174.3812,Marsden Point,ERYQ,4.589,2.5,2,0.8,0.3,1.4,,,9/10/2015,22/11/2015,0.15,,,,,6392a
1413,Te Puna,-35.1852,174.0583,Marsden Point,,,,,,,,,,4/04/2013,13/04/2013,0.005,,,,,
1414,Doubtless Bay,-34.9251,173.443,Marsden Point,,,,,,,,,,3/09/2015,29/10/2015,0.15,,,,,
1415,Farmer Point,-34.8045,173.1732,Marsden Point,EVWA,5.353,2.6,2.1,0.8,0.3,1.5,,,3/08/2015,29/10/2015,0.3,,,,,
1416,Maitai Bay,-34.8225,173.4043,Marsden Point,EVWH,4.751,2.5,2.1,0.8,0.3,1.4,,,4/08/2015,28/10/2015,0.3,,,,,6388e
1417,Takerau Bay,-34.928,173.556,Marsden Point,EVWD,6.997,2.5,2.1,0.8,0.3,1.5,,,2/08/2015,27/10/2015,0.3,,,,,
1418,Te Hapua Wharf,-34.5165,172.923,Marsden Point,TH_BM2,3.717,2.6,2.2,0.9,0.4,1.5,,,4/02/2016,10/03/2016,0.1,,,,,6386b
1419,Akatakere Point,-34.5347,172.9441,Marsden Point,EWVB,5.904,2.5,2.2,0.9,0.4,1.5,,,3/02/2016,10/03/2016,0.1,,,,,
1420,Fakaofo,-9.3803,-171.2188,,,,,,,,,,,20/07/2011,27/07/2011,0.005,,,,,6691
1421,Anakakata Bay,-41.0415,174.2782,Picton,EX4Q,3.272,1.7,1.1,0.5,0.1,0.8,,,23/10/2016,15/06/2017,0.7,,,,,6470b
1422,Dryden Bay,-41.1756,174.186,Picton,EX4N,2.775,1.6,1.1,0.5,0,0.8,,,22/10/2016,9/02/2017,0.3,,,,,6470a
1423,Pine Harbour,-36.8887,174.9864,Auckland,EX5R,4.379,3.2,2.7,0.9,0.3,1.8,,,8/11/2016,7/03/2017,0.4,,,,,6401b
1424,Sandspit Passage,-36.897,175.1832,Auckland,EX5U,3.869,3.3,2.7,0.9,0.3,1.8,,,7/11/2016,7/03/2017,0.4,,,,,
1425,Rakino Island,-36.7262,174.9526,Auckland,EX4T,4.572,3,2.5,0.9,0.3,1.7,,,10/11/2016,6/03/2017,0.4,,,,,
1426,McKenzie Bay,-36.7792,174.8281,Auckland,EX4U,4.81,3.1,2.6,0.9,0.4,1.7,,,2/11/2016,16/02/2017,0.3,,,,,
1427,Fighting Bay,-41.3108,174.202,Picton,,,,,,,,,,,,,,,,,
1428,Kekerengu,-42.0043,174.0153,Lyttelton,AE3W,11.72,1.8,1.3,0.4,0,0.9,,,10/11/2017,17/12/2017,0.1,,,,,
1429,Ohau Point,-42.2458,173.8322,Lyttelton,F1TT,8.372,1.8,1.3,0.4,0,0.8,,,9/11/2017,17/12/2017,0.1,,,,,
1430,Conway Flat,-42.639,173.4553,Lyttelton,F1U4,6.912,1.8,1.3,0.4,0,0.8,,,9/11/2017,16/12/2017,0.1,,,,,
1431,Whites Bay,-41.3883,174.06,Lyttelton,EVVQ,4.69,1.5,0.9,0.3,0,0.6,,,10/01/2018,10/02/2018,0.1,,,,,
1432,Eua Island,-21.3383,-174.9567,,Eua Pin 1,2.458,1.2,1,0.3,0.1,0.7,,,20/08/2018,22/12/2018,0.3,,,,,
1433,Nomuka Iki,-20.2733,-174.81,,Nomuka Pin 1,2.81,1.4,1.1,0.4,0,0.7,,,24/08/2018,20/12/2018,0.3,,,,,
1434,Ha'afeva,-19.9417,-174.715,,Ha'afeva Pin 1,2.013,1.4,1.2,0.4,0.1,0.7,,,28/08/2019,20/12/2018,0.25,,,,,
1435,Paparoa Point,-40.9104,174.0234,Nelson,F4U4,4.49,2.6,1.9,1,0.4,1.4,,,12/11/2019,9/02/2020,0.3,,,,,
1436,Tofua,-19.7083,-175.0833,,,,1.3,1.1,0.3,0,0.7,,,5/09/2018,18/12/2018,0.25,,,,,
1437,Kotiatia ,-34.8902,173.2949,Marsden Point,EVW5,5.347,2.5,2.1,0.9,0.4,1.5,,,28/11/1979,28/10/2015,0.4,,,,,6388
1438,Pigeon Island,-45.7067,166.5533,,,,2.3,1.7,0.8,0.2,1.2,,,13/02/2019,28/03/2019,0.15,,,,,6512c
1439,Shelter Islands,-45.27,166.8933,Westport,F3A3,4.427,2.3,1.8,0.8,0.2,1.3,,,7/02/2019,25/04/2019,0.2,,,,,6513d
1440,Turn Point,-45.4133,167.0117,Westport,F3A6,2.667,2.3,1.7,0.8,0.2,1.3,,,7/02/2019,25/04/2019,0.2,,,,,6513a
1441,Clarks Beach,-37.1424,174.6831,Onehunga,EW64,6.057,4.4,3.5,1.6,0.6,2.6,,,2/08/2019,14/09/2019,0.15,,,,,6375b
1442,Hobsonville,-36.7876,174.6722,Auckland,EW4P,4.714,3.6,3.1,1.1,0.6,2.1,,,7/05/2019,16/06/2019,0.15,,,,,6399e
1443,Whau River,-36.8612,174.6575,Auckland,EW4K,4.226,3.6,3.1,1.1,0.6,2.1,,,6/05/2019,16/06/2019,0.15,,,,,6399f
1444,Weymouth,-37.0553,174.8593,Onehunga,EW5L,5.854,4.5,3.6,1.6,0.6,2.6,,,2/08/2019,14/09/2019,0.15,,,,,6374b
1445,Richmond Bay,-41.0146,173.9883,Nelson,F66N,3.558,2.8,2,1.1,0.4,1.5,,,7/11/2019,4/06/2020,0.7,,,,,
1446,Elie Bay,-41.132,173.9909,Nelson,F66M,4.109,2.8,2.1,1.1,0.4,1.6,,,16/11/2019,4/06/2020,0.7,,,,,
1447,Waihinau Bay,-40.9422,173.9507,Nelson,BM BW 1/96,3.583,,,,,,,,13/09/1996,22/11/1996,0.01,,,,,
1448,Aliepata,-14.0255,-171.4247,,,,1.3,0.9,0.4,0.1,0.7,,,31/08/2019,26/10/2019,0.2,,,,,
1449,Siumu Bay,-14.0097,-171.7888,,,,1.3,1,0.5,0.1,0.7,,,8/09/2019,12/10/2019,0.1,,,,,
1450,Cape Farewell,-40.494,172.6689,Nelson,,,,,,,,,,12/04/2020,22/06/2020,0.25,,,,,
1451,Little Wanganui,-41.395,172.0283,Westport,EW78,,,,,,,,,10/02/2020,20/03/2020,0.15,,,,,
1452,Wairau River Entrance,-41.4866,174.0539,Lyttelton,EW7A,2.161,1.5,1.1,0.4,0.1,0.8,,,25/02/2020,23/06/2020,0.4,,,,,
1453,Coppermine Bay,-40.9321,173.7992,Nelson,F4U1,4.5,3.9,3.1,1.4,0.5,2.2,,,8/10/2019,16/01/2020,0.3,,,,,
1454,Hamilton Bay,-40.9892,173.8544,Nelson,F4UE,3.029,2.7,2,1,0.4,1.5,,,13/10/2019,17/01/2020,0.3,,,,,
1455,Sunday Bay,-40.9766,174.0543,Nelson,F4UB,3.478,2.6,2,1,0.4,1.4,,,11/10/2019,9/02/2020,0.4,,,,,
1456,Port Albert,-36.2713,174.4288,Port Taranaki,F4C1,5.004,3.9,3.1,1.2,0.3,2.2,,,10/03/2020,2/06/2020,0.3,,,,,
1457,Pahi,-36.1567,174.23,Port Taranaki,F4UD,4.738,3.9,3.1,1.1,0.3,2.1,,,12/03/2020,3/06/2020,0.3,,,,,
1458,Raupo,-36.1207,173.9841,Port Taranaki,F4V1,3.664,3.7,2.9,1,0.2,2,,,6/03/2020,5/06/2020,0.3,,,,,
1459,Lucas Creek,-36.7705,174.663,Auckland,,,,,,,,,,6/09/1979,6/04/1980,0.5,,,,,
1460,Purau Lead,-43.6135,172.7741,Lyttelton,,,,,,,,,,15/04/2019,30/06/2020,1.2,Lyttelton Port Christchurch,Radar,,,
1461,Yncyca,-41.1358,173.878,Nelson,F4VD,7.667,3,2.2,1.1,0.4,1.6,,,19/01/2020,27/02/2020,0.1,,,,,
1462,Omaha,-36.3409,174.7643,Auckland,E2KF,,,,,,,,,30/06/2020,21/10/2020,0.3,Auckland Council,Waterwatch LS1 Ultrasonic,,,
1463,Tamaki River,-36.9112,174.8624,Auckland,BD1X,,,,,,,,,30/06/2020,21/10/2020,0.3,Auckland Council,Waterwatch LS1 Ultrasonic,,,
